phone number,first name,last name,age,gender
8123872356,Anita,Joel,24,female
9087234561,Benjamin,Peter,25,male
8034752433,Babalola,Akin,32,male
7064723511,Ene,Eche,43,female
9056721433,Lawal,Ani,41,male
8078700093,Ronke,Ahmed,29,female
8134576211,Basil,Moses,37,male
9123784356,Jemimah,Mamman,33,female
9023745688,Joy,Wura,22,female
8156723455,Ebelle,Austin,26,male
7056382344,Vanessa,Abijah,23,female
8144456211,Laide,Mohammed,27,female
8134622788,Gaius,Musa,31,male
7067123533,Adriel,Amos,38,male
8123451166,Patience,Paul,30,female
7090032400,Shedrack,Elisha,35,male
9187388822,Ovie,Osas,28,female
8176321566,Odigie,Kevin,40,male
9078362422,Deborah,Chockson,25,female
