phone_number,first_name,last_name,age,gender
8123872356,Anita,Joel,24,female
9087234561,Benjamin,Peter,25,male
8034752433,Babalola,Akin,32,male
7064723511,Ene,Eche,43,male
9056721433,Lawal,Ani,41,female
8078700093,Ronke,Ahmed,29,male
8134576211,Basil,Moses,37,female
9123784356,Jemimah,Mamman,33,male
9023745688,Joy,Wura,22,female
8156723455,Ebelle,Austin,26,female
7056382344,Vanessa,Abijah,23,male
8144456211,Laide,Mohammed,27,female
8134622788,Gaius,Musa,31,female
7067123533,Adriel,Amos,38,male
8123451166,Patience,Paul,30,male
7090032400,Shedrack,Elisha,35,female
9187388822,Ovie,Osas,28,male
8176321566,Odigie,Kevin,40,female
9078362422,Deborah,Chockson,25,male
